time_period,geographic_level,country_name,region_name,la_name,school_type,attendance_perc,authorised_absence_perc,unauthorised_absence_perc
2024,Local authority,England,North West,Manchester,Primary,95.7767748024636,2.27871689072275,1.94450830681364
2024,Local authority,England,North East,Northumberland,Primary,96.5837567535787,2.05036483249887,1.36587841392243
2024,Local authority,England,East of England,Cambridgeshire,Primary,96.6836562909986,2.4906247460264,0.825718962975003
2024,Local authority,England,North West,Cheshire West and Chester,Primary,96.7085800418412,2.33634942154345,0.955070536615369
2024,Local authority,England,London,Redbridge,Primary,95.1159744233341,2.85767941224968,2.02634616441619
2024,Local authority,England,South East,Southampton,Primary,95.7005798499067,2.65506966853356,1.64435048155978
2024,Local authority,England,Yorkshire and The Humber,"Kingston upon Hull, City of",Primary,95.3383466328814,2.16045283173092,2.5012005353877
2024,Local authority,England,West Midlands,Staffordshire,Primary,96.8431247295432,2.17620579260011,0.980669477856727
2024,Local authority,England,West Midlands,Warwickshire,Primary,96.3350745760918,2.76104152019816,0.903883903710031
2024,Local authority,England,North East,North Tyneside,Primary,96.3267891070298,2.08006053477871,1.59315035819152
2024,Local authority,England,East Midlands,Derbyshire,Primary,97.0490089069231,2.03571934443713,0.915271748639799
2024,Local authority,England,West Midlands,"Herefordshire, County of",Primary,96.8921092098368,2.4781815225051,0.62970926765806
2024,Local authority,England,North East,Darlington,Primary,95.4203073214824,2.7762234752292,1.80346920328843
2024,Local authority,England,North East,Sunderland,Primary,96.4369520627724,1.75169459264436,1.81135334458327
2024,Local authority,England,Yorkshire and The Humber,Rotherham,Primary,95.8238487584065,2.16533493728514,2.01081630430837
2024,Local authority,England,North West,Trafford,Primary,96.9804019128175,2.22627636343533,0.793321723747132
2024,Local authority,England,South East,Isle of Wight,Primary,96.0427345665255,2.8610430131491,1.09622242032538
2024,Local authority,England,North West,Wirral,Primary,95.7420531350859,2.75468803519826,1.5032588297159
2024,Local authority,England,North West,Tameside,Primary,96.3169472185952,2.0709084706685,1.61214431073626
